Waktu,PDB,PDBTriwulan-1,PDBTriwulan-2,PDBTriwulan-3
2000-12-31,366142.6,360701.6,336967.1,325958.6
2001-03-31,386648.8,366142.6,360701.6,336967.1
2001-06-30,416069.9,386648.8,366142.6,360701.6
2001-09-30,426828.3,416069.9,386648.8,366142.6
2001-12-31,416775.0,426828.3,416069.9,386648.8
2002-03-31,436975.1,416775.0,426828.3,416069.9
2002-06-30,450640.4,436975.1,416775.0,426828.3
2002-09-30,472136.1,450640.4,436975.1,416775.0
2002-12-31,462081.8,472136.1,450640.4,436975.1
2003-03-31,496247.8,462081.8,472136.1,450640.4
2003-06-30,498023.8,496247.8,462081.8,472136.1
2003-09-30,516103.7,498023.8,496247.8,462081.8
2003-12-31,503299.3,516103.7,498023.8,496247.8
2004-03-31,536605.3,503299.3,516103.7,498023.8
2004-06-30,564422.1,536605.3,503299.3,516103.7
2004-09-30,595320.6,564422.1,536605.3,503299.3
2004-12-31,599478.2,595320.6,564422.1,536605.3
2005-03-31,632330.5,599478.2,595320.6,564422.1
2005-06-30,670475.6,632330.5,599478.2,595320.6
2005-09-30,713000.1,670475.6,632330.5,599478.2
2005-12-31,758474.9,713000.1,670475.6,632330.5
2006-03-31,782752.9,758474.9,713000.1,670475.6
2006-06-30,812741.1,782752.9,758474.9,713000.1
2006-09-30,870319.8,812741.1,782752.9,758474.9
2006-12-31,873403.0,870319.8,812741.1,782752.9
2007-03-31,920203.1,873403.0,870319.8,812741.1
2007-06-30,963862.5,920203.1,873403.0,870319.8
2007-09-30,1031408.7,963862.5,920203.1,873403.0
2007-12-31,1035418.9,1031408.7,963862.5,920203.1
2008-03-31,1110032.3,1035418.9,1031408.7,963862.5
2008-06-30,1220605.9,1110032.3,1035418.9,1031408.7
2008-09-30,1327509.6,1220605.9,1110032.3,1035418.9
2008-12-31,1290540.6,1327509.6,1220605.9,1110032.3
2009-03-31,1315272.0,1290540.6,1327509.6,1220605.9
2009-06-30,1381407.4,1315272.0,1290540.6,1327509.6
2009-09-30,1458209.4,1381407.4,1315272.0,1290540.6
2009-12-31,1451314.6,1458209.4,1381407.4,1315272.0
2010-03-31,1505857.0,1451314.6,1458209.4,1381407.4
2010-06-30,1588847.7,1505857.0,1451314.6,1458209.4
2010-09-30,1670567.1,1588847.7,1505857.0,1451314.6
2010-12-31,1681580.1,1670567.1,1588847.7,1505857.0
2011-03-31,1749386.9,1681580.1,1670567.1,1588847.7
2011-06-30,1822473.3,1749386.9,1681580.1,1670567.1
2011-09-30,1929006.2,1822473.3,1749386.9,1681580.1
2011-12-31,1918320.7,1929006.2,1822473.3,1749386.9
2012-03-31,1972890.8,1918320.7,1929006.2,1822473.3
2012-06-30,2047705.9,1972890.8,1918320.7,1929006.2
2012-09-30,2116302.1,2047705.9,1972890.8,1918320.7
2012-12-31,2094027.1,2116302.1,2047705.9,1972890.8
2013-03-31,2143260.1,2094027.1,2116302.1,2047705.9
2013-06-30,2212148.1,2143260.1,2094027.1,2116302.1
2013-09-30,2359100.3,2212148.1,2143260.1,2094027.1
2013-12-31,2372768.0,2359100.3,2212148.1,2143260.1
2014-03-31,2387055.8,2372768.0,2359100.3,2212148.1
2014-06-30,2478081.7,2387055.8,2372768.0,2359100.3
2014-09-30,2622612.6,2478081.7,2387055.8,2372768.0
2014-12-31,2607178.8,2622612.6,2478081.7,2387055.8
2015-03-31,2728180.7,2607178.8,2622612.6,2478081.7
2015-06-30,2867948.4,2728180.7,2607178.8,2622612.6
2015-09-30,2990645.0,2867948.4,2728180.7,2607178.8
2015-12-31,2939558.7,2990645.0,2867948.4,2728180.7
2016-03-31,2929269.0,2939558.7,2990645.0,2867948.4
2016-06-30,3073536.7,2929269.0,2939558.7,2990645.0
2016-09-30,3205019.0,3073536.7,2929269.0,2939558.7
2016-12-31,3193903.8,3205019.0,3073536.7,2929269.0
2017-03-31,3228172.2,3193903.8,3205019.0,3073536.7
2017-06-30,3366787.3,3228172.2,3193903.8,3205019.0
2017-09-30,3504138.5,3366787.3,3228172.2,3193903.8
2017-12-31,3490727.7,3504138.5,3366787.3,3228172.2
2018-03-31,3510363.1,3490727.7,3504138.5,3366787.3
2018-06-30,3686836.4,3510363.1,3490727.7,3504138.5
2018-09-30,3842343.0,3686836.4,3510363.1,3490727.7
2018-12-31,3799213.5,3842343.0,3686836.4,3510363.1
2019-03-31,3782618.3,3799213.5,3842343.0,3686836.4
2019-06-30,3964074.7,3782618.3,3799213.5,3842343.0
2019-09-30,4067358.0,3964074.7,3782618.3,3799213.5
2019-12-31,4018606.2,4067358.0,3964074.7,3782618.3
2020-03-31,3923347.9,4018606.2,4067358.0,3964074.7
2020-06-30,3690742.2,3923347.9,4018606.2,4067358.0
2020-09-30,3897851.9,3690742.2,3923347.9,4018606.2
2020-12-31,3931411.2,3897851.9,3690742.2,3923347.9
2021-03-31,3972769.6,3931411.2,3897851.9,3690742.2
2021-06-30,4177970.8,3972769.6,3931411.2,3897851.9
2021-09-30,4327358.0,4177970.8,3972769.6,3931411.2
2021-12-31,4498592.4,4327358.0,4177970.8,3972769.6
2022-03-31,4508597.8,4498592.4,4327358.0,4177970.8
2022-06-30,4897942.9,4508597.8,4498592.4,4327358.0
2022-09-30,5066994.3,4897942.9,4508597.8,4498592.4
2022-12-31,5114910.6,5066994.3,4897942.9,4508597.8
2023-03-31,5071678.0,5114910.6,5066994.3,4897942.9
